iter	Passed	Remaining
0	81	24307
1	97	14583
2	113	11210
3	128	9527
4	143	8483
5	159	7830
6	174	7320
7	190	6970
8	207	6715
9	224	6496
10	239	6279
11	254	6115
12	270	5976
13	287	5863
14	302	5745
15	317	5637
16	332	5529
17	347	5451
18	363	5381
19	380	5320
20	395	5259
21	409	5179
22	424	5107
23	439	5051
24	454	5004
25	471	4969
26	487	4928
27	503	4886
28	519	4856
29	536	4825
30	552	4793
31	567	4753
32	585	4735
33	601	4707
34	617	4675
35	637	4671
36	658	4683
37	675	4658
38	691	4627
39	707	4599
40	725	4582
41	742	4560
42	762	4554
43	778	4532
44	797	4518
45	814	4495
46	830	4470
47	845	4440
48	861	4413
49	878	4393
50	896	4375
51	911	4347
52	926	4318
53	947	4318
54	966	4304
55	984	4288
56	999	4261
57	1015	4238
58	1032	4215
59	1047	4188
60	1062	4164
61	1077	4137
62	1093	4112
63	1109	4091
64	1125	4069
65	1142	4050
66	1158	4028
67	1174	4006
68	1192	3991
69	1211	3981
70	1230	3969
71	1245	3944
72	1261	3923
73	1278	3904
74	1293	3879
75	1310	3861
76	1326	3841
77	1343	3822
78	1359	3804
79	1376	3785
80	1392	3764
81	1411	3751
82	1429	3737
83	1447	3722
84	1465	3706
85	1481	3687
86	1497	3666
87	1512	3644
88	1528	3623
89	1543	3602
90	1560	3584
91	1577	3565
92	1593	3547
93	1609	3527
94	1625	3508
95	1642	3491
96	1658	3470
97	1674	3450
98	1689	3430
99	1705	3410
100	1722	3392
101	1738	3374
102	1754	3355
103	1770	3337
104	1786	3317
105	1802	3299
106	1819	3282
107	1837	3266
108	1853	3247
109	1870	3231
110	1886	3211
111	1901	3192
112	1916	3171
113	1932	3153
114	1950	3137
115	1967	3120
116	1983	3102
117	2000	3085
118	2016	3066
119	2032	3048
120	2047	3029
121	2062	3008
122	2077	2990
123	2094	2972
124	2110	2954
125	2126	2936
126	2142	2917
127	2160	2903
128	2177	2886
129	2193	2868
130	2208	2849
131	2225	2833
132	2242	2815
133	2259	2798
134	2274	2780
135	2290	2761
136	2306	2744
137	2322	2726
138	2338	2708
139	2354	2691
140	2370	2672
141	2386	2655
142	2401	2636
143	2418	2619
144	2434	2602
145	2451	2585
146	2467	2568
147	2481	2549
148	2497	2531
149	2513	2513
150	2529	2496
151	2544	2477
152	2560	2459
153	2576	2442
154	2593	2426
155	2609	2408
156	2626	2392
157	2641	2374
158	2657	2356
159	2672	2338
160	2688	2321
161	2704	2303
162	2720	2286
163	2737	2269
164	2752	2252
165	2769	2235
166	2785	2218
167	2800	2200
168	2815	2182
169	2832	2166
170	2849	2149
171	2866	2132
172	2882	2116
173	2898	2098
174	2914	2081
175	2929	2064
176	2947	2048
177	2963	2031
178	2979	2014
179	2996	1997
180	3011	1979
181	3027	1963
182	3043	1946
183	3059	1928
184	3076	1912
185	3091	1895
186	3108	1878
187	3124	1861
188	3140	1844
189	3156	1827
190	3171	1809
191	3187	1792
192	3203	1775
193	3220	1759
194	3238	1743
195	3254	1726
196	3270	1709
197	3285	1692
198	3301	1675
199	3317	1658
200	3333	1641
201	3349	1624
202	3366	1608
203	3382	1591
204	3398	1574
205	3414	1557
206	3429	1540
207	3445	1524
208	3461	1507
209	3477	1490
210	3494	1473
211	3511	1457
212	3525	1440
213	3541	1423
214	3556	1406
215	3573	1389
216	3589	1372
217	3604	1355
218	3620	1339
219	3638	1323
220	3656	1307
221	3674	1291
222	3691	1274
223	3708	1258
224	3726	1242
225	3744	1226
226	3761	1209
227	3778	1193
228	3794	1176
229	3810	1159
230	3826	1143
231	3842	1126
232	3858	1109
233	3875	1092
234	3890	1076
235	3905	1059
236	3922	1042
237	3940	1026
238	3956	1009
239	3971	992
240	3986	975
241	4001	958
242	4017	942
243	4033	925
244	4049	909
245	4065	892
246	4081	875
247	4096	858
248	4112	842
249	4127	825
250	4143	808
251	4158	792
252	4174	775
253	4190	758
254	4206	742
255	4223	725
256	4238	709
257	4256	692
258	4272	676
259	4288	659
260	4303	643
261	4319	626
262	4335	609
263	4352	593
264	4368	576
265	4383	560
266	4399	543
267	4415	527
268	4431	510
269	4447	494
270	4463	477
271	4479	461
272	4494	444
273	4510	428
274	4526	411
275	4542	395
276	4559	378
277	4573	361
278	4590	345
279	4607	329
280	4623	312
281	4640	296
282	4656	279
283	4672	263
284	4688	246
285	4704	230
286	4720	213
287	4736	197
288	4753	180
289	4769	164
290	4787	148
291	4803	131
292	4819	115
293	4834	98
294	4850	82
295	4866	65
296	4882	49
297	4898	32
298	4914	16
299	4931	0
